CategoryId,Name,AvailableCount,TotalCount
257084,Espadryle,418,418
148073,Czekany,299,299
90361,Pedagogika przedszkolna,2950,2950
258556,Tamborki,369,369
250821,Systemy operacyjne,157,157
260108,Biurety,8,8
18290,III (1999-2006),1,1
118587,Pow. hajnowski,0,0
116450,Pow. buski,0,0
120781,Pow. tucholski,0,0
18214,Lincoln,3,3
3587,Akcesoria,294,294
122383,Subwoofery,741,741
4741,Audio,555,555
17888,Obiekty i miejsca,152,152
93150,Grecki,926,926
18372,I (1996-2002),12,12
12699,Starlet,0,0
252889,W123,5,5
19350,Smycze,883,883
118811,Pow. górowski,0,0
79197,Dom i ogród,6000,34345
92876,Historyczne i wojenne,358,358
116579,Koniuchy,0,0
79464,"Fizyka, astronomia",6000,21149
16170,"IDM, Experimental, Post-techno",390,390
119619,Pow. zielonogórski,0,0
114426,Wola,0,0
16528,Kije,2060,2060
114488,Zawady,0,0
250172,Sensacja,1100,1100
90068,Klatki i kojce,1769,1769
18697,Zbiorniki wyrównawcze,6000,50145
117013,Tarnów,0,0
114461,Dworzysko,0,0
122629,"Pomocniki, wózki, stoliki",2384,2384
257649,C2,37,37
251032,Komody,5084,5084
112265,Kaski,4,4
122234,Nintendo Game Boy Advance,194,194
148341,Koszulki,76,76
113743,Pow. suwalski,0,0
123647,Do Ainol,1142,1142
259534,Blacharstwo i lakiernictwo,6000,42100
89108,Metafizyka,307,307
260303,Piaskownice,1169,1169
118827,Pow. trzebnicki,0,0
110141,Stepy i steppery,2203,2203
18336,E (1984-1994),3,3
254298,Zestawy lampa i olejki,50,50
122292,Sony PlayStation (PSX),640,640
18240,V (1997-2001),4,4
64525,Szafy,2237,2237
12446,Astro,0,0
253405,Nexus 4,14,14
114912,Pow. hajnowski,1,1
251483,Baterie i akumulatory rowerowe,6000,30262
259320,"Farby, preparaty",543,543
119731,Pow. kolbuszowski,0,0
121532,Magazyny i placówki handlowe,6000,26463
250949,Obudowy,1146,1146
17230,Akcesoria,990,990
254098,Do Modecom,345,345
258789,Akcesoria,1027,1027
63782,Pasy cnoty,997,997
258862,Rusztowania,382,382
120374,Pow. sieradzki,0,0
114828,Radom,5,5
117130,Gdynia,2,2
92,Afryka,2239,2239
18004,Taniec,6000,7746
122772,Klarnety,149,149
116309,Pow. legionowski,0,0
1459,Okrycia wierzchnie,6000,97651
86138,Grecja,0,0
119393,Olszówka Dolna,0,0
147126,Przygodowe,1719,1719
116763,Stroszek,0,0
125342,D-Sub,1357,1357
121415,Dziurkarki,39,39
115580,Pow. nowodworski,2,2
76336,Sufitowe,2613,2613
115829,Fordon,0,0
67116,Navigon,15,15
86358,Koparki,3778,3778
113448,Niwka,0,0
113768,Bytom,0,0
145199,D-Max,1,1
85210,Wertykulatory i aeratory   ,3378,3378
115994,Kamienny Potok,0,0
118259,Szobiszowice,0,0
113365,Rumia,0,0
253573,Linki holownicze,1328,1328
118665,Pow. staszowski,0,0
119991,Mokotów,0,0
113112,Kalisz,0,0
249708,II (1994-2001),2,2
120206,Urbanowice,0,0
18269,W126 (1980-1993),9,9
28051,Nawozy,6000,6261
76005,Skarpetki i kolanówki,6000,31166
113341,Chwarzno,0,0
113837,Kalisz,1,1
115814,Strupice,0,0
94185,Bob Budowniczy,60,60
11734,skala 1:43,6000,11060
113399,Lisiniec,0,0
118976,Pow. warszawski zachodni,0,0
118096,Ursus,0,0
3605,Lotnictwo,2754,2754
111885,Biokominki,5781,5781
18401,Ignis,12,12
89114,"Geodezja, kartografia",1022,1022
147287,Skarpety,5065,5065
258470,Sega Dreamcast,198,198
17748,Zapachy dla kobiet,6000,164901
116167,Pow. górowski,0,0
67308,Cinch-Cinch,4878,4878
3686,Katalogi,564,564
259657,Kanistry,110,110
18365,IV (2003-2014),60,60
10327,Mazury,714,714
120421,Pow. nowodworski,0,0
109959,Role Playing (RPG),120,120
3770,do 1918,424,424
117272,Pow. stargardzki,0,0
259551,Szpachelki blacharskie,348,348
123583,II (2008-2015),129,129
260452,Kalkulatory,754,754
99835,Imprezy integracyjne,1,1
15051,Polska,1851,1851
78719,Gorsety,1497,1497
256010,Linki zmiany biegów,6000,16408
118681,Pow. nowomiejski,0,0
3645,Polonica,346,346
260085,Eksykatory,41,41
260024,Karty i rejestratory video,552,552
57977,Rezzo,3,3
26239,Stoliki,2927,2927
12755,I (1974-1983),1,1
117473,Aleksandrowice,0,0
18333,Combo,31,31
78593,8L (1996-2003),0,0
64557,"Kostki, bloczki samoprzylepne",3507,3507
62224,Wisiorki,1477,1477
119081,Pow. gliwicki,0,0
118610,Pow. nowodworski,0,0
50610,Banki danych,28,28
117306,Skrzetusko,0,0
50895,110,0,0
86081,Serwety,929,929
116248,Pow. zielonogórski,1,1
113759,Pow. nowodworski,0,0
118631,Sosnowiec,0,0
89510,Bluzy,6000,81682
93536,Wielka Brytania,20,20
259385,Pudry,401,401
259485,Sztuka i kultura,69,69
16229,Holdery,643,643
260440,Stabilizatory,1894,1894
115504,Pow. gorzowski,0,0
132168,XPERIA E,64,64
258370,Kremy do twarzy,966,966
112910,Pow. gorlicki,0,0
122408,Na CD,203,203
117484,Stare Bielsko,0,0
19286,Akcesoria serwisowe,6000,10102
251014,Konsole,1460,1460
47918,Barometry,552,552
49221,CTS,0,0
83734,213,0,0
117214,Pow. olecki,0,0
115416,Opolskie,2,2
8727,Jachty motorowe,96,96
16484,Szosowe,2230,2230
63807,Wibratory,6000,134275
259500,Masy antystresowe,1152,1152
258973,Meble na wymiar,117,117
112713,Blaty,2611,2611
118798,Pomorskie,3,3
112818,Bydgoszcz,0,0
258026,BV6000,35,35
119635,Pow. piotrkowski,1,1
146543,Uszczelki szyb,6000,8949
115604,Opole,1,1
82334,Nintendo DS,1805,1805
90077,Grzebienie i szczotki,5374,5374
74255,Cewki,88,88
119283,Tarczyn,0,0
260390,Garmin,79,79
256610,Domino,225,225
251036,Pufy,4202,4202
120429,Pow. przasnyski,0,0
120334,Pow. opolski,0,0
18002,Szklane,1900,1900
13384,Komplety,295,295
260307,Basowe,839,839
85159,Kawiarki,1191,1191
119110,Pow. braniewski,0,0
258725,Zestawy krawieckie,356,356
26959,Rysunek,1257,1257
20007,Folie ochronne,6000,7106
13841,Kopie i faksymile,1208,1208
115275,Lipnik,0,0
115244,Cisowa,0,0
20609,Komedie,2357,2357
260278,Moto E5,27,27
53621,Polska,352,352
74297,Sanki,1782,1782
93534,Austria,22,22
75532,Bold 9000,9,9
116896,Jelenia Góra,0,0
252898,III (2014-),31,31
116771,Lisiniec,0,0
260043,Gogle VR,6000,9148
125776,Akcesoria,3101,3101
125582,G,4,4
88343,Urodziny,4616,4616
252981,XPERIA Z5,190,190
67162,Klucze,686,686
12967,Wood Elves,103,103
110022,Pompy i filtry,2470,2470
47478,Kinkiety,6000,11180
115718,Pow. kielecki,3,3
118505,Warszawa,3,3
101482,Europa ,1329,1329
117490,Górniki,0,0
90840,Fundusze unijne,57,57
93616,Mongolia,24,24
259996,Resuscytatory,98,98
89101,Filozofia - opracowania ogólne,6000,13253
115818,Krzyki,1,1
257950,Pompki do paliwa,520,520
114454,Szczepanowice,0,0
259412,Etui i albumy,606,606
120775,Pow. nakielski,0,0
258776,Wentylatory i cyrkulatory,428,428
115789,Pow. drawski,1,1
148216,"Kleje, uszczelniacze",169,169
115648,Pow. hajnowski,1,1
12414,33,0,0
88342,Komunia,3173,3173
257675,BrickHeadz,393,393
1523,Elektryka i akcesoria,6000,268146
119435,Szobiszowice,0,0
12440,X3,170,170
93658,Projektory,594,594
101357,Biurka,2099,2099
117691,Pow. krasnostawski,0,0
256067,Kratki wentylacyjne,6000,9212
253518,Herbatki,433,433
252210,"Ogrzewanie, wentylacja, klimatyzacja",1084,1084
12694,Celica,12,12
46124,Instalacje hydrauliczne,6000,132923
10368,Kolejnictwo,326,326
63766,Karty telewizyjne,45,45
148063,Bielizna termoaktywna,689,689
118718,Pow. turecki,0,0
119300,Grudzice,0,0
256708,Uchwyty,3225,3225
114456,Wróblin,0,0
117147,Pow. tczewski,0,0
89142,Muzyka,6000,9850
113209,Na Skarpie,0,0
28126,Komplety,6000,11674
90340,Biznes - opracowania ogólne,6000,9709
114337,Grabary,0,0
259803,Inwertory,5003,5003
256773,Zjazdowe,6000,15881
57962,B8 (2007-2015),253,253
18266,W220 (1998-2005),34,34
120643,Pow. szczecinecki,1,1
112992,Pow. lubaczowski,0,0
115958,Zagórki,0,0
116027,Stroszek,0,0
113359,Przylesie,0,0
14649,Jazz,42,42
8857,Makro,1680,1680
253007,Hammer 2 3G,30,30
147668,Akcesoria spawalnicze,6000,7583
58004,II (2003-2011),48,48
118358,Pomorskie,2,2
52749,Polska,6000,8852
1056,Ameryka Pn.,196,196
18201,III (2001-2008),4,4
118100,Wilanów,0,0
148442,Przedmioty dekoracyjne,6000,23399
120626,Szczecin,0,0
124058,Dla kibiców,6000,10896
115654,Pow. sokólski,0,0
122410,Na winyle,37,37
118153,Bojary,0,0
18229,IV (1989-1994),0,0
145062,III (2011-),138,138
114360,Okole,0,0
79418,Czasopisma,836,836
18003,Metalowe i inne,129,129
258610,Sportowe,50,50
117071,Pow. wyszkowski,0,0
253894,Kabury,1438,1438
119096,Pow. kazimierski,0,0
118947,Pow. ciechanowski,0,0
117311,Bielawy,0,0
122464,Przeciwbólowe,184,184
258840,Nasady kominowe,934,934
117822,Rzeszów,0,0
114572,Stradom,0,0
258648,Logiczne,21,21
121387,Transport drewna,2095,2095
258396,Zestawy dermokosmetyków,97,97
115539,Pow. zgierski,1,1
12507,Escort,2,2
113511,Wielkopolskie,10,10
3572,Akcesoria,478,478
259946,Protetyka,1581,1581
18403,II (1989-1996),0,0
541,Zegary,6000,176628
255099,Lampy przednie,6000,283738
122277,Eye Toy,10,10
120900,Pow. sierpecki,0,0
8785,Kamery,6000,63340
120323,Pow. bialski,0,0
250177,Horror,149,149
93159,Marynarka Wojenna,1914,1914
13714,Kluby polskie,1182,1182
113744,Pow. wysokomazowiecki,0,0
115217,Nowe Miasto,0,0
91471,Horrory,5898,5898
120075,Osowa,0,0
20615,Seriale,37,37
260046,Rejestratory i grabbery,354,354
93175,Juke,82,82
110615,Jednorazowe,71,71
116047,Bojków,0,0
91249,Repetytoria,975,975
91894,Niderlandzka,479,479
120239,Pogodno,0,0
257539,Stinger,2,2
254998,Rowery,184,184
