CategoryId,Name,Path,AvailableCount,TotalCount
257084,Espadryle,"Allegro/Moda/Odzież, Obuwie, Dodatki/Obuwie/Męskie/Espadryle/",427,427
148073,Czekany,Allegro/Sport i turystyka/Sporty ekstremalne/Wspinaczka/Sprzęt wspinaczkowy/Czekany/,298,298
90361,Pedagogika przedszkolna,"Allegro/Kultura i rozrywka/Książki i Komiksy/Książki naukowe i popularnonaukowe/Pedagogika, resocjalizacja/Pedagogika przedszkolna/",2943,2943
258556,Tamborki,Allegro/Kolekcje i sztuka/Rękodzieło/Dziewiarstwo/Tamborki/,365,365
250821,Systemy operacyjne,Allegro/Kultura i rozrywka/Książki i Komiksy/Ebooki/Informatyka/Systemy operacyjne/,157,157
90228,Szerokokątne,Allegro/Elektronika/Fotografia/Akcesoria fotograficzne/Konwertery/Szerokokątne/,66,66
260108,Biurety,"Allegro/Zdrowie/Specjalistyczny sprzęt medyczny/Laboratorium/Miareczkowanie, dozowanie/Biurety/",8,8
18290,III (1999-2006),Allegro/Ogłoszenia i usługi/Motoryzacja/Samochody/Osobowe/Mitsubishi/Eclipse/III (1999-2006)/,1,1
118587,Pow. hajnowski,Allegro/Ogłoszenia i usługi/Nieruchomości/Pokoje do wynajęcia/Podlaskie/Pow. hajnowski/,0,0
116450,Pow. buski,Allegro/Ogłoszenia i usługi/Nieruchomości/Mieszkania na sprzedaż/Świętokrzyskie/Pow. buski/,0,0
100113,Pozostałe,"Allegro/Kultura i rozrywka/Filmy/Płyty DVD/Kursy, ćwiczenia, karaoke/Pozostałe/",548,548
119738,Pow. niżański,Allegro/Ogłoszenia i usługi/Nieruchomości/Lokale i obiekty użytkowe do wynajęcia/Podkarpackie/Pow. niżański/,0,0
120781,Pow. tucholski,Allegro/Ogłoszenia i usługi/Nieruchomości/Garaże i miejsca postojowe do wynajęcia/Kujawsko-pomorskie/Pow. tucholski/,0,0
18214,Lincoln,Allegro/Ogłoszenia i usługi/Motoryzacja/Samochody/Osobowe/Lincoln/,3,3
