CategoryId,Name,AvailableCount,TotalCount
108411,"Boxerky, trenky, slipy",0,0
257084,Espadryle,0,0
148073,Czekany,0,0
90361,Pedagogika przedszkolna,0,0
51977,České,0,0
258556,Tamborki,0,0
250821,Systemy operacyjne,0,0
90228,Szerokokątne,0,0
144523,vel. 128 (7-8 let),0,0
63878,Pronájem - ČR,0,0
18290,III (1999-2006),0,0
118587,Pow. hajnowski,0,0
116450,Pow. buski,0,0
100113,Pozostałe,0,0
119738,Pow. niżański,0,0
120781,Pow. tucholski,0,0
253357,Płyny do płukania,0,0
18214,Lincoln,0,0
3587,Akcesoria,0,0
122383,Subwoofery,0,0
113935,Żoliborz,0,0
4741,Audio,0,0
112901,Pow. zduńskowolski,0,0
90344,Zarządzanie,0,0
118169,Kiełpino Górne,0,0
144162,vel.68 (4-6 měsíců),0,0
17888,Obiekty i miejsca,0,0
93150,Grecki,0,0
119303,Nowa Wieś Królewska,0,0
18372,I (1996-2002),0,0
5361,Oczyszczanie i demakijaż,0,0
12699,Starlet,0,0
252889,W123,0,0
19350,Smycze,0,0
18117,II (2001-2004),0,0
112638,Pozostałe,0,0
118811,Pow. górowski,0,0
8811,Sony,0,0
115599,Pow. wołomiński,0,0
79197,Dom i ogród,0,0
92876,Historyczne i wojenne,0,0
116053,Sośnica,0,0
120998,Siemianowice Śląskie,0,0
116579,Koniuchy,0,0
79464,"Fizyka, astronomia",0,0
47062,Staré reklamní materiály,0,0
251348,Silniki i osprzęt,0,0
252743,Vatikán,0,0
16170,"IDM, Experimental, Post-techno",0,0
119619,Pow. zielonogórski,0,0
114426,Wola,0,0
16528,Kije,0,0
114488,Zawady,0,0
118638,Pow. bieruńsko-lędziński,0,0
8207,Hodiny,0,0
250172,Sensacja,0,0
90068,Klatki i kojce,0,0
112261,Uprzęże,0,0
82259,Leżaki i leżanki,2,2
113687,Pow. wołomiński,0,0
18697,Zbiorniki wyrównawcze,1,1
76803,Jednokřídlá,0,0
117013,Tarnów,0,0
114461,Dworzysko,0,0
8209,Sklo,0,0
253687,Pozostałe,0,0
46158,Pozostałe,0,0
144203,vel. 92 (18-24 měsíců),0,0
253228,Oleje sprężarkowe,0,0
122629,"Pomocniki, wózki, stoliki",0,0
257649,C2,0,0
114151,Pow. jarosławski,0,0
144112,vel.68 (4-6 měsíců),0,0
119701,Pow. sokołowski,0,0
251032,Komody,0,0
118982,Pow. żyrardowski,0,0
112265,Kaski,0,0
123869,Do Samsung,0,0
114512,Mały Kack,0,0
100858,GPS software,0,0
50460,Pozostałe,0,0
122234,Nintendo Game Boy Advance,0,0
148341,Koszulki,0,0
114225,Pow. będziński,0,0
113743,Pow. suwalski,0,0
114778,Pow. żagański,0,0
122367,Pojemnościowe,0,0
20066,2.1,0,0
77738,Pozostałe,0,0
123647,Do Ainol,67,67
144136,vel. 50 (0-1 měsíc),0,0
116739,Pozostałe,0,0
89108,Metafizyka,0,0
118827,Pow. trzebnicki,0,0
110141,Steppery,0,0
122832,"Pokrowce, futerały",0,0
18336,E (1984-1994),0,0
46663,Pozostałe,0,0
105180,Rulandské modré ,0,0
254298,Zestawy lampa i olejki,0,0
90898,Pozostałe,0,0
122292,Sony PlayStation (PSX),1,1
18240,V (1997-2001),0,0
64525,Szafy,0,0
64631,Pozostałe,0,0
113611,Pow. łęczycki,0,0
12446,Astro,0,0
113584,Pow. radzyński,0,0
253405,Nexus 4,0,0
20236,Technics,0,0
114912,Pow. hajnowski,0,0
251483,Baterie i akumulatory,0,0
119731,Pow. kolbuszowski,0,0
115470,Pow. rypiński,0,0
121532,Magazyny i placówki handlowe,3,3
113977,Pow. wałbrzyski,0,0
250949,Obudowy,0,0
144036,vel.68 (4-6 měsíců),0,0
17230,Akcesoria,0,0
254098,Do Modecom,0,0
63782,Pasy cnoty,0,0
123818,Epson,0,0
51976,Boxy,0,0
13411,Pozostałe,0,0
258862,Rusztowania,0,0
120374,Pow. sieradzki,0,0
114828,Radom,0,0
105210,André ,0,0
123857,Do Xerox,0,0
100828,Operační systémy,0,0
143851,vel. 158 (12-13 let),0,0
121119,Bieżanów-Prokocim,0,0
255560,Gąbki do makijażu,0,0
117130,Gdynia,0,0
92,Afryka,0,0
18004,Taniec,0,0
122772,Klarnety,0,0
253829,Katalogi części,0,0
74000,Wędliny,0,0
116309,Pow. legionowski,0,0
1459,Okrycia wierzchnie,3,3
146432,Chňapky,0,0
86138,Grecja,0,0
82260,Ławy i ławki,0,0
90310,Psychologia społeczna,0,0
119393,Olszówka Dolna,0,0
63761,Biżuteria erotyczna,0,0
104817,Simulátory,0,0
147126,Przygodowe,1,1
116513,Pow. śremski,0,0
116763,Stroszek,0,0
293,Pozostałe,1,1
100815,Amiga,0,0
119117,Pow. kętrzyński,0,0
19327,Nokia,0,0
125342,D-Sub,0,0
121415,Dziurkarki,0,0
115580,Pow. nowodworski,0,0
76336,Sufitowe,0,0
251347,Oświetlenie,0,0
115829,Fordon,0,0
67116,Navigon,0,0
116426,Siemianowice Śląskie,0,0
76778,Prací prostředky,0,0
86358,Koparki,0,0
113448,Niwka,0,0
113768,Bytom,0,0
145199,D-Max,0,0
85210,Wertykulatory i aeratory   ,0,0
115994,Kamienny Potok,0,0
118259,Szobiszowice,0,0
115229,Kiełpino Górne,0,0
118799,Śląskie,0,0
113365,Rumia,0,0
253573,Linki holownicze,0,0
118665,Pow. staszowski,0,0
119991,Mokotów,0,0
85339,Košilky,0,0
115506,Pow. międzyrzecki,0,0
113112,Kalisz,0,0
77800,ExpressCard,0,0
249708,II (1994-2001),0,0
120206,Urbanowice,0,0
18269,W126 (1980-1993),0,0
28051,Nawozy,0,0
76005,Skarpetki i kolanówki,0,0
119901,Pow. koszaliński,0,0
121102,Pow. koszaliński,0,0
113341,Chwarzno,0,0
113837,Kalisz,0,0
253643,Usługi transportowe,0,0
17104,Kontenery,0,0
105204,Cabernet Sauvignon ,0,0
115814,Strupice,0,0
122530,Specjalistyczny sprzęt medyczny,4,4
11820,Dla niemowląt,2,2
94185,Bob Budowniczy,0,0
11734,skala 1:43,9,9
