CategoryId,Name,Path,AvailableCount,TotalCount
257084,Espadryle,,420,420
148073,Czekany,,299,299
90361,Pedagogika przedszkolna,,2937,2937
258556,Tamborki,,369,369
250821,Systemy operacyjne,,157,157
90228,Szerokokątne,,67,67
260108,Biurety,,8,8
18290,III (1999-2006),,1,1
118587,Pow. hajnowski,,0,0
116450,Pow. buski,,0,0
100113,Pozostałe,,552,552
119738,Pow. niżański,,0,0
120781,Pow. tucholski,,0,0
18214,Lincoln,,3,3
3587,Akcesoria,,294,294
122383,Subwoofery,,739,739
113935,Żoliborz,,0,0
4741,Audio,,554,554
112901,Pow. zduńskowolski,,0,0
90344,Zarządzanie,,6000,26663
118169,Kiełpino Górne,,0,0
17888,Obiekty i miejsca,,138,138
93150,Grecki,,918,918
119303,Nowa Wieś Królewska,,0,0
18372,I (1996-2002),,11,11
5361,Oczyszczanie i demakijaż,,6000,36428
12699,Starlet,,0,0
252889,W123,,5,5
19350,Smycze,,886,886
112638,Pozostałe,,838,838
118811,Pow. górowski,,0,0
115599,Pow. wołomiński,,1,1
79197,Dom i ogród,,6000,34026
92876,Historyczne i wojenne,,360,360
116053,Sośnica,,0,0
120998,Siemianowice Śląskie,,0,0
116579,Koniuchy,,0,0
79464,"Fizyka, astronomia",,6000,21142
251348,Silniki i osprzęt,,6000,14398
16170,"IDM, Experimental, Post-techno",,393,393
119619,Pow. zielonogórski,,0,0
114426,Wola,,0,0
16528,Kije,,2067,2067
114488,Zawady,,0,0
118638,Pow. bieruńsko-lędziński,,0,0
250172,Sensacja,,1100,1100
90068,Klatki i kojce,,1770,1770
112261,Uprzęże,,55,55
82259,Leżaki i leżanki,,4138,4138
113687,Pow. wołomiński,,0,0
18697,Zbiorniki wyrównawcze,,6000,50138
117013,Tarnów,,0,0
114461,Dworzysko,,0,0
46158,Pozostałe,,6000,10306
253228,Oleje sprężarkowe,,293,293
122629,"Pomocniki, wózki, stoliki",,2385,2385
259342,Pozostałe,,1836,1836
257649,C2,,40,40
114151,Pow. jarosławski,,0,0
119701,Pow. sokołowski,,0,0
251032,Komody,,5083,5083
118982,Pow. żyrardowski,,0,0
112265,Kaski,,4,4
114512,Mały Kack,,0,0
50460,Pozostałe,,1019,1019
122234,Nintendo Game Boy Advance,,200,200
148341,Koszulki,,76,76
114225,Pow. będziński,,0,0
113743,Pow. suwalski,,0,0
114778,Pow. żagański,,0,0
122367,Pojemnościowe,,937,937
77738,Pozostałe,,3266,3266
123647,Do Ainol,,1142,1142
259534,Blacharstwo i lakiernictwo,,6000,42248
116739,Pozostałe,,0,0
89108,Metafizyka,,306,306
260303,Piaskownice,,1167,1167
118827,Pow. trzebnicki,,0,0
110141,Stepy i steppery,,2218,2218
122832,"Pokrowce, futerały",,652,652
18336,E (1984-1994),,3,3
259520,Pozostałe,,133,133
46663,Pozostałe,,30,30
254298,Zestawy lampa i olejki,,50,50
90898,Pozostałe,,6000,14109
122292,Sony PlayStation (PSX),,596,596
18240,V (1997-2001),,4,4
64525,Szafy,,2243,2243
64631,Pozostałe,,3503,3503
113611,Pow. łęczycki,,0,0
12446,Astro,,0,0
113584,Pow. radzyński,,0,0
253405,Nexus 4,,17,17
114912,Pow. hajnowski,,2,2
251483,Baterie i akumulatory rowerowe,,6000,30266
259320,"Farby, preparaty",,544,544
119731,Pow. kolbuszowski,,0,0
115470,Pow. rypiński,,0,0
121532,Magazyny i placówki handlowe,,6000,26473
113977,Pow. wałbrzyski,,0,0
250949,Obudowy,,1147,1147
17230,Akcesoria,,992,992
254098,Do Modecom,,345,345
258789,Akcesoria,,1027,1027
63782,Pasy cnoty,,995,995
13411,Pozostałe,,225,225
258862,Rusztowania,,385,385
120374,Pow. sieradzki,,0,0
114828,Radom,,5,5
121119,Bieżanów-Prokocim,,0,0
255560,Gąbki do makijażu,,4349,4349
117130,Gdynia,,2,2
92,Afryka,,2293,2293
260470,Osłony zębatki,,1988,1988
18004,Taniec,,6000,7773
122772,Klarnety,,149,149
253829,Katalogi części,,140,140
74000,Wędliny,,385,385
116309,Pow. legionowski,,0,0
1459,Okrycia wierzchnie,,6000,97488
86138,Grecja,,0,0
82260,Ławy i ławki,,3952,3952
90310,Psychologia społeczna,,1660,1660
119393,Olszówka Dolna,,0,0
63761,Biżuteria erotyczna,,5540,5540
147126,Przygodowe,,1723,1723
116513,Pow. śremski,,0,0
116763,Stroszek,,0,0
293,Pozostałe,,6000,91075
119117,Pow. kętrzyński,,0,0
125342,D-Sub,,1353,1353
121415,Dziurkarki,,40,40
115580,Pow. nowodworski,,2,2
260408,"Powieści fantasy, horrory",,1001,1001
76336,Sufitowe,,2617,2617
251347,Oświetlenie,,1892,1892
115829,Fordon,,0,0
67116,Navigon,,15,15
116426,Siemianowice Śląskie,,2,2
86358,Koparki,,3781,3781
113448,Niwka,,0,0
113768,Bytom,,0,0
145199,D-Max,,1,1
85210,Wertykulatory i aeratory   ,,3385,3385
115994,Kamienny Potok,,0,0
118259,Szobiszowice,,0,0
115229,Kiełpino Górne,,0,0
118799,Śląskie,,1,1
113365,Rumia,,0,0
253573,Linki holownicze,,1328,1328
118665,Pow. staszowski,,0,0
119991,Mokotów,,0,0
115506,Pow. międzyrzecki,,0,0
113112,Kalisz,,0,0
249708,II (1994-2001),,2,2
120206,Urbanowice,,0,0
18269,W126 (1980-1993),,8,8
28051,Nawozy,,6000,6253
76005,Skarpetki i kolanówki,,6000,31306
119901,Pow. koszaliński,,1,1
260156,Ściągaczki,,518,518
121102,Pow. koszaliński,,0,0
113341,Chwarzno,,0,0
113837,Kalisz,,1,1
115814,Strupice,,0,0
11820,Dla niemowląt,,6000,143026
94185,Bob Budowniczy,,59,59
11734,skala 1:43,,6000,11102
10285,Białostockie,,139,139
256713,Osłony,,908,908
259404,Taśmy i łańcuchy ostrzegawcze,,827,827
113399,Lisiniec,,0,0
113870,Pow. wrzesiński,,0,0
118976,Pow. warszawski zachodni,,0,0
11890,Moduły sieciowe,,93,93
118096,Ursus,,0,0
3605,Lotnictwo,,2660,2660
111885,Biokominki,,5784,5784
115011,Pow. szczycieński,,3,3
45696,Zestawy żelowe,,753,753
18401,Ignis,,11,11
91079,Pozostałe,,6000,25711
114914,Pow. łomżyński,,0,0
89114,"Geodezja, kartografia",,1016,1016
114130,Pow. żuromiński,,0,0
17283,Oświetlenie,,6000,31169
147287,Skarpety,,5061,5061
258470,Sega Dreamcast,,198,198
17748,Zapachy dla kobiet,,6000,165520
253965,Ochrona kolan i łokci,,869,869
116167,Pow. górowski,,0,0
147805,"Sandały, klapki",,1340,1340
67308,Cinch-Cinch,,4882,4882
3686,Katalogi,,537,537
117030,Pow. tatrzański,,0,0
114960,Żory,,2,2
259657,Kanistry,,109,109
115179,Ząbki,,1,1
18365,IV (2003-2014),,62,62
10327,Mazury,,723,723
120421,Pow. nowodworski,,0,0
119107,Elbląg,,0,0
109959,Role Playing (RPG),,120,120
257957,Odstraszacze zwierząt,,564,564
3770,do 1918,,405,405
240,Urządzenia stacjonarne,,6000,11746
117272,Pow. stargardzki,,0,0
257919,Złoto,,148,148
259551,Szpachelki blacharskie,,348,348
123583,II (2008-2015),,131,131
260452,Kalkulatory,,755,755
99835,Imprezy integracyjne,,1,1
15051,Polska,,1856,1856
253219,Dodatki do oleju napędowego,,5812,5812
78719,Gorsety,,1498,1498
119675,Pow. garwoliński,,0,0
256010,Linki zmiany biegów,,6000,16396
118681,Pow. nowomiejski,,0,0
3645,Polonica,,340,340
260085,Eksykatory,,41,41
260024,Karty i rejestratory video,,552,552
57977,Rezzo,,3,3
121101,Pow. kołobrzeski,,0,0
26239,Stoliki,,2987,2987
12755,I (1974-1983),,1,1
114197,Pow. lęborski,,0,0
117473,Aleksandrowice,,0,0
114986,Pow. pińczowski,,0,0
20253,Pozostałe,,2527,2527
18333,Combo,,31,31
